model,condition,delta,std_err,ci_low,ci_high,p_value,n_obs,n_groups,converged
gemma4-12b,all,0.005555555555552502,0.009557173061366362,-0.013176159438741978,0.02428727054984698,0.5610403355509339,1257,180,True
gemma4-12b,clustering,-0.005648665425204826,0.005571546106475853,-0.016568695132101862,0.005271364281692211,0.3106583239128159,1257,180,True
gemma4-12b,components,-0.016666666666669792,0.009541276394577547,-0.035367224766583966,0.0020338914332443774,0.08067267202970249,1257,180,True
gemma4-12b,degree,0.011111111111108012,0.007743837878051781,-0.004066532231990555,0.02628875445420658,0.1513348030113488,1257,180,True
gemma4-12b,filler,-0.011235257603975736,0.007856147514291327,-0.026633023789220608,0.004162508581269136,0.15268170718679888,1257,180,True
gemma4-12b,rwse,-0.005648665425204803,0.005571546106475848,-0.01656869513210183,0.005271364281692225,0.31065832391281745,1257,180,True
gemma4-e4b,all,-0.005616883116883102,0.01272830493787098,-0.030563902379353552,0.019330136145587352,0.6590025283580616,1226,180,True
gemma4-e4b,clustering,-0.005714285714285629,0.012772231436860284,-0.030747399332742054,0.019318827904170794,0.6545868766646976,1226,180,True
gemma4-e4b,components,-0.03428571428571426,0.017864358192436036,-0.06929921294981195,0.0007277843783834309,0.05495592559516054,1226,180,True
gemma4-e4b,degree,-0.0054253611556981185,0.012644169820339482,-0.030207478617971788,0.019356756306575552,0.667864962243615,1226,180,True
gemma4-e4b,filler,6.493506493508174e-05,0.011364469098226037,-0.02220901507100634,0.0223388852008765,0.9954410185466291,1226,180,True
gemma4-e4b,rwse,-0.01781119465329985,0.010040717106666899,-0.03749063856132219,0.0018682492547224885,0.07608024344987034,1226,180,True
qwen3-14b,all,0.011111111111110737,0.013583052459917717,-0.015511182510446175,0.03773340473266765,0.41334986430302345,1260,180,True
qwen3-14b,clustering,0.022222222222221547,0.010986960721618024,0.0006881749082940161,0.04375626953614908,0.04311444678298328,1260,180,True
qwen3-14b,components,0.016666666666666125,0.01464602925162404,-0.012039023183037116,0.045372356516369367,0.2551351547533457,1260,180,True
qwen3-14b,degree,0.04444444444444392,0.0172530588131109,0.010629070547595182,0.07825981834129266,0.00999411813509321,1260,180,True
qwen3-14b,filler,-4.862594095097344e-16,0.011111111111106473,-0.021777377605991997,0.021777377605991025,0.999999999999965,1260,180,True
qwen3-14b,rwse,0.01111111111111074,0.007812971522117632,-0.004202031684476906,0.026424253906698385,0.15498666065366257,1260,180,True
qwen3-8b,all,0.016201117318436223,0.01829049964962621,-0.019647603254073623,0.05204983789094607,0.375743204395805,1258,180,True
qwen3-8b,clustering,0.027777777777778297,0.01455206819027575,-0.0007437517757331348,0.056299307331289725,0.0562808912163397,1258,180,True
qwen3-8b,components,5.249195576059923e-16,0.017568209223155228,-0.03443305735024812,0.03443305735024917,0.9999999999999761,1258,180,True
qwen3-8b,degree,0.027777777777778175,0.01830899993822396,-0.008107202694086862,0.06366275824964321,0.1292249769902622,1258,180,True
qwen3-8b,filler,-0.04999999999999963,0.022600939563117966,-0.09429702756047727,-0.005702972439521989,0.026946122132530906,1258,180,True
qwen3-8b,rwse,-0.0284916201117314,0.018168284779987266,-0.06410080394137366,0.00711756371791086,0.11683297587372414,1258,180,True
