model,condition,delta,std_err,ci_low,ci_high,p_value,n_obs,n_groups,converged
gemma4-12b,all,0.011235257603960202,0.010845952671739373,-0.010022419010674946,0.03249293421859535,0.300251583887697,1256,180,True
gemma4-12b,clustering,0.011235257603960198,0.007594596955926728,-0.003649878906753716,0.026120394114674112,0.13904009219581231,1256,180,True
gemma4-12b,components,-0.010986964618261983,0.007730045348971109,-0.02613757510110671,0.004163645864582743,0.15522012189628095,1256,180,True
gemma4-12b,degree,0.022346368715071372,0.010670956792784823,0.0014316777206300757,0.04326105970951267,0.036248418268108984,1256,180,True
gemma4-12b,filler,0.005679702048404651,0.005391455430173557,-0.004887356418988425,0.016246760515797726,0.2921285683872078,1256,180,True
gemma4-12b,rwse,0.0054924361308017105,0.0053061816615646695,-0.004907488821291943,0.015892361082895365,0.30062155317704875,1256,180,True
gemma4-e4b,all,0.01777033241361189,0.015074350429146482,-0.011774851517851122,0.0473155163450749,0.23845964335444148,1203,179,True
gemma4-e4b,clustering,0.005677954576363398,0.01743005137360475,-0.028484318364584812,0.03984022751731161,0.7446085040987618,1203,179,True
gemma4-e4b,components,-0.011865905072759239,0.020144245432612284,-0.051347900616414796,0.027616090470896318,0.5558298209010704,1203,179,True
gemma4-e4b,degree,0.011627906976744241,0.016390755619013788,-0.020497383715920303,0.043753197669408786,0.47806474593669523,1203,179,True
gemma4-e4b,filler,-0.006017951856385104,0.019291981487024667,-0.04382954076136693,0.03179363704859672,0.7550856832532615,1203,179,True
gemma4-e4b,rwse,0.005401128388606073,0.013021400271140342,-0.020120347171109092,0.030922603948321237,0.6782966656792272,1203,179,True
qwen3-14b,all,0.011111111111111058,0.013583052459920116,-0.015511182510450555,0.03773340473267267,0.4133498643030925,1259,180,True
qwen3-14b,clustering,0.005555555555555368,0.016661521839668444,-0.02710042717782233,0.03821153828893307,0.7388049948584926,1259,180,True
qwen3-14b,components,-0.005555555555555497,0.01241569651249147,-0.02988987356301833,0.018778762451907335,0.6545413350250475,1259,180,True
qwen3-14b,degree,0.05555555555555546,0.02037037037037123,0.015630363277886014,0.09548074783322491,0.006386023282709369,1259,180,True
qwen3-14b,filler,-0.011731843575419128,0.013642774837750445,-0.038471190906599284,0.015007503755761025,0.3898271368775811,1259,180,True
qwen3-14b,rwse,2.2743766746508623e-17,0.01571348402636789,-0.030797862763326477,0.030797862763326526,0.9999999999999989,1259,180,True
qwen3-8b,all,0.018039950062422067,0.020142892079932626,-0.021439392958722978,0.05751929308356711,0.37046707453232997,1255,180,True
qwen3-8b,clustering,0.018039950062422094,0.018319362804214184,-0.017865341253560395,0.05394524137840458,0.3247480248319836,1255,180,True
qwen3-8b,components,0.011235955056179666,0.019264102573120553,-0.026520992181622002,0.04899290229398133,0.5597191733627704,1255,180,True
qwen3-8b,degree,0.07331617600903893,0.022324093154019144,0.029561757439644232,0.11707059457843363,0.0010228224557913984,1255,180,True
qwen3-8b,filler,-0.015293383270911553,0.019923936747021243,-0.05434358172532731,0.023756815183504205,0.4427317399916584,1255,180,True
qwen3-8b,rwse,0.0013732833957553153,0.020555565224038057,-0.03891488412522329,0.041661450916733914,0.9467342759316493,1255,180,True
