arm,group,condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_excluded_non_terminating,n_looped_on_correct_answer,low_power,near_ceiling,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_power_target,bh_significant_global
main_sweep_zeroshot_only,gemma4-12b,all,excluded,main_sweep_zeroshot_only/gemma4-12b/excluded,180,180,0,0,0,False,True,0.0,0.03333333333333333,0.005555555555555556,-0.011111111111111112,0.022222222222222223,1.0,False,,,,False
main_sweep_zeroshot_only,gemma4-12b,clustering,excluded,main_sweep_zeroshot_only/gemma4-12b/excluded,179,179,1,1,0,False,True,-0.034482758620689655,0.0,-0.00558659217877095,-0.01675977653631285,0.0,1.0,False,,,,False
main_sweep_zeroshot_only,gemma4-12b,components,excluded,main_sweep_zeroshot_only/gemma4-12b/excluded,180,180,0,0,0,False,True,-0.1,0.0,-0.016666666666666666,-0.03888888888888889,0.0,0.25337466253374663,False,,,,False
main_sweep_zeroshot_only,gemma4-12b,degree,excluded,main_sweep_zeroshot_only/gemma4-12b/excluded,180,180,0,0,0,False,True,0.0,0.06666666666666667,0.011111111111111112,0.0,0.027777777777777776,0.49555044495550443,False,,,,False
main_sweep_zeroshot_only,gemma4-12b,filler,excluded,main_sweep_zeroshot_only/gemma4-12b/excluded,179,179,1,1,0,False,True,-0.06896551724137931,0.0,-0.0111731843575419,-0.027932960893854747,0.0,0.49625037496250374,False,,,,False
main_sweep_zeroshot_only,gemma4-12b,rwse,excluded,main_sweep_zeroshot_only/gemma4-12b/excluded,179,179,1,1,0,False,True,-0.034482758620689655,0.0,-0.00558659217877095,-0.01675977653631285,0.0,1.0,False,,,,False
main_sweep_zeroshot_only,gemma4-e4b,all,excluded,main_sweep_zeroshot_only/gemma4-e4b/excluded,173,173,7,9,0,False,True,-0.08695652173913043,0.03333333333333333,-0.005780346820809248,-0.03468208092485549,0.017341040462427744,1.0,False,,,,False
main_sweep_zeroshot_only,gemma4-e4b,clustering,excluded,main_sweep_zeroshot_only/gemma4-e4b/excluded,171,171,9,10,2,False,True,-0.041666666666666664,0.037037037037037035,-0.005847953216374269,-0.029239766081871343,0.017543859649122806,1.0,False,,,,False
main_sweep_zeroshot_only,gemma4-e4b,components,excluded,main_sweep_zeroshot_only/gemma4-e4b/excluded,173,173,7,10,0,False,True,-0.13333333333333333,0.034482758620689655,-0.028901734104046242,-0.06358381502890173,0.005780346820809248,0.17328267173282672,False,,,,False
main_sweep_zeroshot_only,gemma4-e4b,degree,excluded,main_sweep_zeroshot_only/gemma4-e4b/excluded,173,173,7,7,0,False,True,-0.041666666666666664,0.034482758620689655,-0.005780346820809248,-0.028901734104046242,0.017341040462427744,1.0,False,,,,False
main_sweep_zeroshot_only,gemma4-e4b,filler,excluded,main_sweep_zeroshot_only/gemma4-e4b/excluded,173,173,7,9,0,False,True,0.0,0.03333333333333333,0.005780346820809248,-0.011560693641618497,0.028901734104046242,1.0,False,,,,False
main_sweep_zeroshot_only,gemma4-e4b,rwse,excluded,main_sweep_zeroshot_only/gemma4-e4b/excluded,170,170,10,14,0,False,True,-0.045454545454545456,0.0,-0.01764705882352941,-0.041176470588235294,0.0,0.25137486251374863,False,,,,False
main_sweep_zeroshot_only,qwen3-14b,all,excluded,main_sweep_zeroshot_only/qwen3-14b/excluded,180,180,0,0,0,False,False,-0.03333333333333333,0.1,0.011111111111111112,-0.016666666666666666,0.03888888888888889,0.688931106889311,False,,,,False
main_sweep_zeroshot_only,qwen3-14b,clustering,excluded,main_sweep_zeroshot_only/qwen3-14b/excluded,180,180,0,0,0,False,False,0.0,0.06666666666666667,0.022222222222222223,0.005555555555555556,0.044444444444444446,0.13018698130186981,False,,,,False
main_sweep_zeroshot_only,qwen3-14b,components,excluded,main_sweep_zeroshot_only/qwen3-14b/excluded,180,180,0,0,0,False,False,-0.03333333333333333,0.1,0.016666666666666666,-0.011111111111111112,0.044444444444444446,0.4520547945205479,False,,,,False
main_sweep_zeroshot_only,qwen3-14b,degree,excluded,main_sweep_zeroshot_only/qwen3-14b/excluded,180,180,0,0,0,False,False,0.0,0.2,0.044444444444444446,0.011111111111111112,0.07777777777777778,0.019198080191980802,False,,,,False
main_sweep_zeroshot_only,qwen3-14b,filler,excluded,main_sweep_zeroshot_only/qwen3-14b/excluded,180,180,0,0,0,False,False,-0.03333333333333333,0.03333333333333333,0.0,-0.022222222222222223,0.022222222222222223,1.0,False,,,,False
main_sweep_zeroshot_only,qwen3-14b,rwse,excluded,main_sweep_zeroshot_only/qwen3-14b/excluded,180,180,0,0,0,False,False,0.0,0.03333333333333333,0.011111111111111112,0.0,0.027777777777777776,0.5047495250474953,False,,,,False
main_sweep_zeroshot_only,qwen3-8b,all,excluded,main_sweep_zeroshot_only/qwen3-8b/excluded,179,179,1,1,0,False,False,-0.1,0.1724137931034483,0.0111731843575419,-0.0223463687150838,0.0446927374301676,0.7495250474952505,False,,,,False
main_sweep_zeroshot_only,qwen3-8b,clustering,excluded,main_sweep_zeroshot_only/qwen3-8b/excluded,180,180,0,0,0,False,False,0.0,0.13333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.12288771122887711,False,,,,False
main_sweep_zeroshot_only,qwen3-8b,components,excluded,main_sweep_zeroshot_only/qwen3-8b/excluded,180,180,0,0,0,False,False,-0.03333333333333333,0.03333333333333333,0.0,-0.03333333333333333,0.03333333333333333,1.0,False,,,,False
main_sweep_zeroshot_only,qwen3-8b,degree,excluded,main_sweep_zeroshot_only/qwen3-8b/excluded,180,180,0,0,0,False,False,-0.03333333333333333,0.23333333333333334,0.027777777777777776,-0.005555555555555556,0.06666666666666667,0.22377762223777622,False,,,,False
main_sweep_zeroshot_only,qwen3-8b,filler,excluded,main_sweep_zeroshot_only/qwen3-8b/excluded,180,180,0,0,0,False,False,-0.23333333333333334,0.03333333333333333,-0.05,-0.09444444444444444,-0.005555555555555556,0.048595140485951406,False,,,,False
main_sweep_zeroshot_only,qwen3-8b,rwse,excluded,main_sweep_zeroshot_only/qwen3-8b/excluded,179,179,1,1,0,False,False,-0.10344827586206896,0.0,-0.0335195530726257,-0.0670391061452514,0.0,0.1095890410958904,False,,,,False
main_sweep_zerocot_only,gemma4-12b,all,excluded,main_sweep_zerocot_only/gemma4-12b/excluded,167,167,13,19,0,False,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
main_sweep_zerocot_only,gemma4-12b,clustering,excluded,main_sweep_zerocot_only/gemma4-12b/excluded,172,172,8,13,0,False,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
main_sweep_zerocot_only,gemma4-12b,components,excluded,main_sweep_zerocot_only/gemma4-12b/excluded,168,168,12,16,0,False,True,-0.2,0.0,-0.03571428571428571,-0.06547619047619048,-0.011904761904761904,0.031296870312968704,False,,,,False
main_sweep_zerocot_only,gemma4-12b,degree,excluded,main_sweep_zerocot_only/gemma4-12b/excluded,168,168,12,18,0,False,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
main_sweep_zerocot_only,gemma4-12b,filler,excluded,main_sweep_zerocot_only/gemma4-12b/excluded,171,171,9,13,0,False,True,-0.14285714285714285,0.0,-0.04678362573099415,-0.08187134502923976,-0.017543859649122806,0.006999300069993001,True,,,,False
main_sweep_zerocot_only,gemma4-12b,rwse,excluded,main_sweep_zerocot_only/gemma4-12b/excluded,167,167,13,20,0,False,True,-0.058823529411764705,0.0,-0.005988023952095809,-0.017964071856287425,0.0,1.0,False,,,,False
main_sweep_zerocot_only,gemma4-e4b,all,excluded,main_sweep_zerocot_only/gemma4-e4b/excluded,149,149,31,51,1,True,True,-0.06666666666666667,0.16666666666666666,0.026845637583892617,-0.006711409395973154,0.06711409395973154,0.29747025297470253,False,,,,False
main_sweep_zerocot_only,gemma4-e4b,clustering,excluded,main_sweep_zerocot_only/gemma4-e4b/excluded,147,147,33,54,0,True,True,0.0,0.16666666666666666,0.04081632653061224,0.013605442176870748,0.07482993197278912,0.030496950304969503,False,,,,False
main_sweep_zerocot_only,gemma4-e4b,components,excluded,main_sweep_zerocot_only/gemma4-e4b/excluded,147,147,33,55,2,True,True,-0.3103448275862069,0.0625,-0.10884353741496598,-0.16326530612244897,-0.061224489795918366,0.00029997000299970003,True,,,,True
main_sweep_zerocot_only,gemma4-e4b,degree,excluded,main_sweep_zerocot_only/gemma4-e4b/excluded,149,149,31,49,1,True,True,-0.08333333333333333,0.13333333333333333,0.020134228187919462,-0.013422818791946308,0.053691275167785234,0.45285471452854714,False,,,,False
main_sweep_zerocot_only,gemma4-e4b,filler,excluded,main_sweep_zerocot_only/gemma4-e4b/excluded,142,142,38,58,1,True,True,-0.25,-0.03571428571428571,-0.09154929577464789,-0.14788732394366197,-0.04225352112676056,0.0022997700229977,True,,,,True
main_sweep_zerocot_only,gemma4-e4b,rwse,excluded,main_sweep_zerocot_only/gemma4-e4b/excluded,144,144,36,59,1,True,True,0.0,0.17857142857142858,0.034722222222222224,0.0,0.06944444444444445,0.12658734126587343,False,,,,False
main_sweep_zerocot_only,qwen3-14b,all,excluded,main_sweep_zerocot_only/qwen3-14b/excluded,175,175,5,5,0,False,False,0.0,0.2,0.045714285714285714,0.011428571428571429,0.08,0.021397860213978603,False,,,,False
main_sweep_zerocot_only,qwen3-14b,clustering,excluded,main_sweep_zerocot_only/qwen3-14b/excluded,175,175,5,5,0,False,False,-0.03333333333333333,0.2,0.02857142857142857,-0.005714285714285714,0.06285714285714286,0.1780821917808219,False,,,,False
main_sweep_zerocot_only,qwen3-14b,components,excluded,main_sweep_zerocot_only/qwen3-14b/excluded,170,170,10,10,0,False,False,-0.20689655172413793,0.0,-0.052941176470588235,-0.08823529411764706,-0.023529411764705882,0.0047995200479952005,True,,,,False
main_sweep_zerocot_only,qwen3-14b,degree,excluded,main_sweep_zerocot_only/qwen3-14b/excluded,171,171,9,10,0,False,False,-0.041666666666666664,0.2,0.05263157894736842,0.011695906432748537,0.09941520467836257,0.033396660333966606,False,,,,False
main_sweep_zerocot_only,qwen3-14b,filler,excluded,main_sweep_zerocot_only/qwen3-14b/excluded,175,175,5,5,0,False,False,-0.17857142857142858,0.1,-0.045714285714285714,-0.09714285714285714,0.005714285714285714,0.1334866513348665,False,,,,False
main_sweep_zerocot_only,qwen3-14b,rwse,excluded,main_sweep_zerocot_only/qwen3-14b/excluded,172,172,8,10,1,False,False,-0.041666666666666664,0.2,0.01744186046511628,-0.01744186046511628,0.05813953488372093,0.553044695530447,False,,,,False
main_sweep_zerocot_only,qwen3-8b,all,excluded,main_sweep_zerocot_only/qwen3-8b/excluded,172,172,8,10,0,False,False,0.0,0.43333333333333335,0.10465116279069768,0.05813953488372093,0.1569767441860465,9.999000099990002e-05,True,,,,True
main_sweep_zerocot_only,qwen3-8b,clustering,excluded,main_sweep_zerocot_only/qwen3-8b/excluded,170,170,10,11,0,False,False,-0.08695652173913043,0.4666666666666667,0.07647058823529412,0.029411764705882353,0.12941176470588237,0.008099190080991902,True,,,,False
main_sweep_zerocot_only,qwen3-8b,components,excluded,main_sweep_zerocot_only/qwen3-8b/excluded,165,165,15,17,1,False,False,0.0,0.038461538461538464,0.006060606060606061,-0.024242424242424242,0.03636363636363636,1.0,False,,,,False
main_sweep_zerocot_only,qwen3-8b,degree,excluded,main_sweep_zerocot_only/qwen3-8b/excluded,173,173,7,9,0,False,False,-0.04,0.36666666666666664,0.11560693641618497,0.057803468208092484,0.17341040462427745,0.00039996000399960006,True,,,,True
main_sweep_zerocot_only,qwen3-8b,filler,excluded,main_sweep_zerocot_only/qwen3-8b/excluded,169,169,11,12,0,False,False,-0.1111111111111111,0.20689655172413793,0.0,-0.05917159763313609,0.05917159763313609,1.0,False,,,,False
main_sweep_zerocot_only,qwen3-8b,rwse,excluded,main_sweep_zerocot_only/qwen3-8b/excluded,171,171,9,12,0,False,False,-0.07692307692307693,0.4,0.04678362573099415,-0.005847953216374269,0.09941520467836257,0.11358864113588642,False,,,,False
thinking_arm_accuracy,gemma4-12b,all,excluded,thinking_arm_accuracy/gemma4-12b/excluded,131,131,49,72,8,True,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
thinking_arm_accuracy,gemma4-12b,clustering,excluded,thinking_arm_accuracy/gemma4-12b/excluded,125,125,55,92,8,True,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
thinking_arm_accuracy,gemma4-12b,components,excluded,thinking_arm_accuracy/gemma4-12b/excluded,130,130,50,76,6,True,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
thinking_arm_accuracy,gemma4-12b,degree,excluded,thinking_arm_accuracy/gemma4-12b/excluded,129,129,51,78,7,True,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
thinking_arm_accuracy,gemma4-12b,filler,excluded,thinking_arm_accuracy/gemma4-12b/excluded,133,133,47,71,4,True,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
thinking_arm_accuracy,gemma4-12b,rwse,excluded,thinking_arm_accuracy/gemma4-12b/excluded,126,126,54,83,8,True,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
thinking_arm_accuracy,gemma4-e4b,all,excluded,thinking_arm_accuracy/gemma4-e4b/excluded,180,180,0,0,0,False,True,0.0,0.06666666666666667,0.016666666666666666,-0.005555555555555556,0.044444444444444446,0.37266273372662734,False,,,,False
