arm,group,task,condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,gemma4-12b/zerocot-only,node_count,all,excluded,mae/gemma4-12b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,node_count,clustering,excluded,mae/gemma4-12b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,node_count,components,excluded,mae/gemma4-12b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,node_count,degree,excluded,mae/gemma4-12b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,node_count,filler,excluded,mae/gemma4-12b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,node_count,rwse,excluded,mae/gemma4-12b/zerocot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,edge_count,all,excluded,mae/gemma4-12b/zerocot-only/edge_count,17,17,19,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,edge_count,clustering,excluded,mae/gemma4-12b/zerocot-only/edge_count,22,22,13,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,edge_count,components,excluded,mae/gemma4-12b/zerocot-only/edge_count,20,20,14,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,edge_count,degree,excluded,mae/gemma4-12b/zerocot-only/edge_count,18,18,18,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,edge_count,filler,excluded,mae/gemma4-12b/zerocot-only/edge_count,21,21,13,-1.9523809523809523,-5.380952380952381,-0.0,0.25147485251474855,False,False
main_sweep,gemma4-12b/zerocot-only,edge_count,rwse,excluded,mae/gemma4-12b/zerocot-only/edge_count,17,17,20,-0.11764705882352941,-0.35294117647058826,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,node_degree,all,excluded,mae/gemma4-12b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,node_degree,clustering,excluded,mae/gemma4-12b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zerocot-only,node_degree,components,excluded,mae/gemma4-12b/zerocot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
